date,open,high,low,close,volume,adjClose
5/9/2013,1632.69,1635.01,1623.09,1626.67,3457400000,1626.67
5/8/2013,1625.95,1632.78,1622.7,1632.69,3554700000,1632.69
5/7/2013,1617.55,1626.03,1616.64,1625.96,3309580000,1625.96
5/6/2013,1614.4,1619.77,1614.21,1617.5,3062240000,1617.5
5/3/2013,1597.6,1618.46,1597.6,1614.42,3603910000,1614.42
5/2/2013,1582.77,1598.6,1582.77,1597.59,3366950000,1597.59
5/1/2013,1597.55,1597.55,1581.28,1582.7,3530320000,1582.7
4/30/2013,1593.58,1597.57,1586.5,1597.57,3745070000,1597.57
4/29/2013,1582.34,1596.65,1582.34,1593.61,2891200000,1593.61
4/26/2013,1585.16,1585.78,1577.56,1582.24,3198620000,1582.24
4/25/2013,1578.93,1592.64,1578.93,1585.16,3908580000,1585.16
4/24/2013,1578.78,1583,1575.8,1578.79,3598240000,1578.79
4/23/2013,1562.5,1579.58,1562.5,1578.78,3565150000,1578.78
4/22/2013,1555.25,1565.55,1548.19,1562.5,2979880000,1562.5
4/19/2013,1541.61,1555.89,1539.4,1555.25,3569870000,1555.25
4/18/2013,1552.03,1554.38,1536.03,1541.61,3890800000,1541.61
4/17/2013,1574.57,1574.57,1543.69,1552.01,4250310000,1552.01
4/16/2013,1552.36,1575.35,1552.36,1574.57,3654700000,1574.57
4/15/2013,1588.84,1588.84,1552.28,1552.36,4660130000,1552.36
4/12/2013,1593.3,1593.3,1579.97,1588.85,3206290000,1588.85
4/11/2013,1587.73,1597.35,1586.17,1593.37,3393950000,1593.37
4/10/2013,1568.61,1589.07,1568.61,1587.73,3453350000,1587.73
4/9/2013,1563.11,1573.89,1560.92,1568.61,3252780000,1568.61
4/8/2013,1553.26,1563.07,1548.63,1563.07,2887120000,1563.07
4/5/2013,1559.98,1559.98,1539.5,1553.28,3515410000,1553.28
4/4/2013,1553.69,1562.6,1552.52,1559.98,3350670000,1559.98
4/3/2013,1570.25,1571.47,1549.8,1553.69,4060610000,1553.69
4/2/2013,1562.17,1573.66,1562.17,1570.25,3312160000,1570.25
4/1/2013,1569.18,1570.57,1558.47,1562.17,2753110000,1562.17
3/28/2013,1562.86,1570.28,1561.08,1569.19,3304440000,1569.19
3/27/2013,1563.75,1564.07,1551.9,1562.85,2914210000,1562.85
3/26/2013,1551.69,1563.95,1551.69,1563.77,2869260000,1563.77
3/25/2013,1556.89,1564.91,1546.22,1551.69,3178170000,1551.69
3/22/2013,1545.9,1557.74,1545.9,1556.89,2948380000,1556.89
3/21/2013,1558.71,1558.71,1543.55,1545.8,3243270000,1545.8
3/20/2013,1548.34,1561.56,1548.34,1558.71,3349090000,1558.71
3/19/2013,1552.1,1557.25,1538.57,1548.34,3796210000,1548.34
3/18/2013,1560.7,1560.7,1545.13,1552.1,3164560000,1552.1
3/15/2013,1563.21,1563.62,1555.74,1560.7,5175850000,1560.7
3/14/2013,1554.52,1563.32,1554.52,1563.23,3459260000,1563.23
3/13/2013,1552.48,1556.39,1548.25,1554.52,3073830000,1554.52
3/12/2013,1556.22,1556.77,1548.24,1552.48,3274910000,1552.48
3/11/2013,1551.15,1556.27,1547.36,1556.22,3091080000,1556.22
3/8/2013,1544.26,1552.48,1542.94,1551.18,3652260000,1551.18
3/7/2013,1541.46,1545.78,1541.46,1544.26,3634710000,1544.26
3/6/2013,1539.79,1545.25,1538.11,1541.46,3676890000,1541.46
3/5/2013,1525.2,1543.47,1525.2,1539.79,3610690000,1539.79
3/4/2013,1518.2,1525.27,1512.29,1525.2,3414430000,1525.2
3/1/2013,1514.68,1519.99,1501.48,1518.2,3695610000,1518.2
2/28/2013,1515.99,1525.34,1514.46,1514.68,3912320000,1514.68
2/27/2013,1496.94,1520.08,1494.88,1515.99,3551850000,1515.99
